tokenID,name,description,file_name,external_url,attributes[Tier]
1,Gangster Rat,"Sporting a pinstripe suit and a sly grin, Gangster Rat is always ready for a heist",1.png,https://rats.casa/rat/1.png,Rare
2,Fireman Rat,"With a tiny helmet and a hero's heart, Fireman Rat is the first to scurry into the flames",2.png,https://rats.casa/rat/2.png,Common
3,Captain Rat,"Steering the cheese rind boat with confidence, Captain Rat is the bravest on the seven seas",3.png,https://rats.casa/rat/3.png,Common
4,Doctor Rat,"With a stethoscope hanging around his neck, Doctor Rat is on the run to save his fellow critters",4.png,https://rats.casa/rat/4.png,Common
5,Chef Rat,"Wielding a miniature spatula, Chef Rat cooks up gourmet crumbs like a master",5.png,https://rats.casa/rat/5.png,Common
6,Astronaut Rat,"In a little space suit, Astronaut Rat is ready to explore the galaxies of your kitchen",6.png,https://rats.casa/rat/6.png,Common
7,Ninja Rat,"A master of stealth, Ninja Rat is a shadow in the night, silent but friendly",7.png,https://rats.casa/rat/7.png,Common
8,Cowboy Rat,"With a hat and boots fit for a rodeo, Cowboy Rat is the sheriff of the pantry",8.png,https://rats.casa/rat/8.png,Common
9,Pirate Rat,"With a patch over one eye, Pirate Rat is seeking treasure in the fridge",9.png,https://rats.casa/rat/9.png,Common
10,Artist Rat,"With a paintbrush and a beret, Artist Rat is a tiny visionary of abstract crumbs",10.png,https://rats.casa/rat/10.png,Common
11,Detective Rat,"With a magnifying glass and an eye for detail, Detective Rat is on the case",11.png,https://rats.casa/rat/11.png,Common
12,King Rat,"Wearing a crown and a regal cloak, King Rat rules over the maze with benevolence",12.png,https://rats.casa/rat/12.png,Common
13,Queen Rat,"With a glittering tiara and a majestic pose, Queen Rat is the belle of the ball",13.png,https://rats.casa/rat/13.png,Common
14,Wizard Rat,"With a pointy hat and a magic wand, Wizard Rat conjures up spells and cheese",14.png,https://rats.casa/rat/14.png,Common
15,Punk Rat,"With a leather jacket and a rebellious streak, Punk Rat is the cool kid of the sewer",15.png,https://rats.casa/rat/15.png,Common
16,Surfer Rat,"With a tiny surfboard and a laid-back attitude, Surfer Rat rides the waves of the puddles",16.png,https://rats.casa/rat/16.png,Common
17,Scientist Rat,"With goggles and a lab coat, Scientist Rat is researching the physics of cheese",17.png,https://rats.casa/rat/17.png,Common
18,Soldier Rat,"With a little helmet and a brave heart, Soldier Rat stands guard over the snack cabinet",18.png,https://rats.casa/rat/18.png,Common
19,Rapper Rat,"With a mic and rhymes about cheese, Rapper Rat is the star of the alley",19.png,https://rats.casa/rat/19.png,Common
20,Ballerina Rat,"With a tutu and graceful moves, Ballerina Rat dances through the kitchen after dark",20.png,https://rats.casa/rat/20.png,Common
21,Superhero Rat,"With a cape and an eye mask, Superhero Rat is ready to swoop in and save the day",21.png,https://rats.casa/rat/21.png,Common
22,Spy Rat,"With a sneaky disposition and gadgets galore, Spy Rat knows all the secrets of the pantry",22.png,https://rats.casa/rat/22.png,Common
23,Viking Rat,"With a helmet and a spirit for adventure, Viking Rat is ready to conquer new lands",23.png,https://rats.casa/rat/23.png,Common
24,Santa Rat,"With a bag full of crumbs and a jolly laugh, Santa Rat delivers treats to all the good mice",24.png,https://rats.casa/rat/24.png,Common
